PERIODE;JOUR;LIBELLE_ARRET;CAT_JOUR;NB_VALD_JOURNALIERE;TRNC_HORR_60;pourc_validations;NB_VALD_HORAIRE;VILLE_CIBLE;STATION_METEO;METEO_GLOBALE;VENT_RAFALE_MS;PLUIE_MM;TEMP_MOYENNE_C
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;0H-1H;0,03;1;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;10H-11H;3,16;10;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;11H-12H;3,12;10;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;12H-13H;3,7;12;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;13H-14H;2,7;9;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;14H-15H;2,61;8;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;15H-16H;3,63;11;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;16H-17H;5,8;18;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;17H-18H;6,53;21;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;18H-19H;3,9;12;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;19H-20H;1,91;6;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;1H-2H;0,0;0;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;20H-21H;1,07;3;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;21H-22H;0,63;2;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;22H-23H;0,21;1;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;23H-0H;0,08;1;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;2H-3H;0,0;0;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;3H-4H;0,0;0;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;4H-5H;0,29;1;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;5H-6H;1,64;5;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;6H-7H;9,1;29;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;7H-8H;22,56;71;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;8H-9H;21,68;69;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;ACHERES-VILLE;JOHV;318;9H-10H;5,64;18;ACHERES;ACHERES;Pluie Légère;8,9;0,4;5,15
2016S1;2016-01-01;AUBER;JOHV;1360;0H-1H;0,42;6;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;10H-11H;1,84;25;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;11H-12H;2,34;32;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;12H-13H;3,73;51;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;13H-14H;4,4;60;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;14H-15H;4,14;56;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;15H-16H;4,98;68;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;16H-17H;7,43;101;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;17H-18H;15,85;215;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;18H-19H;19,03;258;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;19H-20H;13,71;186;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;1H-2H;0,02;1;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;20H-21H;7,85;107;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
2016S1;2016-01-01;AUBER;JOHV;1360;21H-22H;2,58;35;PARIS;PARIS-MONTSOURIS;Pluie Légère;11,1;1,6;6,6
